file,dll,function
HotkeyService.cs,user32.dll,GetKeyState
Controllers/XInputController.cs,xinput1_4.dll,XInputGetState14
Controllers/XInputController.cs,xinput1_3.dll,XInputGetState13
Gamepad/XInputHelper.cs,xinput1_4.dll,GetState
Gamepad/XInputHelper.cs,xinput1_4.dll,GetCapabilities
Gamepad/XInputHelper.cs,xinput1_3.dll,GetState
Gamepad/XInputHelper.cs,xinput1_3.dll,GetCapabilities
Gamepad/XInputHelper.cs,xinput9_1_0.dll,GetState
Gamepad/XInputHelper.cs,xinput9_1_0.dll,GetCapabilities
Input/LowLevelHooks.cs,user32.dll,SetWindowsHookEx
Input/LowLevelHooks.cs,user32.dll,UnhookWindowsHookEx
Input/LowLevelHooks.cs,user32.dll,CallNextHookEx
Input/LowLevelHooks.cs,kernel32.dll,GetModuleHandle
Input/LowLevelHooks.cs,user32.dll,GetKeyState
Input/RawInput.cs,user32.dll,RegisterRawInputDevices
Input/RawInput.cs,user32.dll,GetRawInputData
Interop/DeviceHider.cs,setupapi.dll,SetupDiGetClassDevs
Interop/DeviceHider.cs,setupapi.dll,SetupDiEnumDeviceInfo
Interop/DeviceHider.cs,setupapi.dll,SetupDiGetDeviceInstanceId
Interop/DeviceHider.cs,setupapi.dll,SetupDiGetDeviceRegistryProperty
Interop/DeviceHider.cs,setupapi.dll,SetupDiSetClassInstallParams
Interop/DeviceHider.cs,setupapi.dll,SetupDiCallClassInstaller
Interop/DeviceHider.cs,setupapi.dll,SetupDiDestroyDeviceInfoList
